"ind","main.effect","mean","sd","sem","sp","jolyid"
"ACEPEN01_HF","chill0",24.25,6.7515430335097,3.37577151675485,"ACEPEN","Acer_pensylvanicum_MA_01"
"ACEPEN01_HF","chill1",14.25,1.5,0.75,"ACEPEN","Acer_pensylvanicum_MA_01"
"ACEPEN01_HF","chill2",17,4.96655480858378,2.48327740429189,"ACEPEN","Acer_pensylvanicum_MA_01"
"ACEPEN01_HF","12",16.5,5.39444158370447,2.20227155455452,"ACEPEN","Acer_pensylvanicum_MA_01"
"ACEPEN01_HF","20",18.5,5.35723809439155,2.18708329364323,"ACEPEN","Acer_pensylvanicum_MA_01"
"ACEPEN01_HF","08",20.5,6.89202437604511,2.81365716935569,"ACEPEN","Acer_pensylvanicum_MA_01"
"ACEPEN01_HF","15",18.5,7.58287544405155,3.09569593683445,"ACEPEN","Acer_pensylvanicum_MA_01"
"ACEPEN02_HF","chill2",16,5.35412613473634,2.67706306736817,"ACEPEN","Acer_pensylvanicum_MA_02"
"ACEPEN02_HF","chill0",22.6666666666667,3.78593889720018,1.89296944860009,"ACEPEN","Acer_pensylvanicum_MA_02"
"ACEPEN02_HF","12",12.6,4.97995983919549,2.03306009093025,"ACEPEN","Acer_pensylvanicum_MA_02"
"ACEPEN02_HF","20",17.8,7.69415362466854,3.14112506383727,"ACEPEN","Acer_pensylvanicum_MA_02"
"ACEPEN02_HF","chill1",10.25,3.86221007541882,1.93110503770941,"ACEPEN","Acer_pensylvanicum_MA_02"
"ACEPEN02_HF","08",18.3333333333333,6.86051504383357,2.80079353834667,"ACEPEN","Acer_pensylvanicum_MA_02"
"ACEPEN02_HF","15",14,5.44058820349418,2.22111083319436,"ACEPEN","Acer_pensylvanicum_MA_02"
"ACEPEN03_HF","12",12.8333333333333,6.6758270399005,2.72539497647181,"ACEPEN","Acer_pensylvanicum_MA_03"
"ACEPEN03_HF","08",12.6666666666667,6.53197264742181,2.66666666666667,"ACEPEN","Acer_pensylvanicum_MA_03"
"ACEPEN03_HF","20",12.5,6.28490254498827,2.56580071972344,"ACEPEN","Acer_pensylvanicum_MA_03"
"ACEPEN03_HF","chill0",18,3.55902608401044,1.77951304200522,"ACEPEN","Acer_pensylvanicum_MA_03"
"ACEPEN03_HF","chill1",5.5,2.88675134594813,1.44337567297406,"ACEPEN","Acer_pensylvanicum_MA_03"
"ACEPEN03_HF","15",13,6.89927532426414,2.81661735657035,"ACEPEN","Acer_pensylvanicum_MA_03"
"ACEPEN03_HF","chill2",14.75,3.5,1.75,"ACEPEN","Acer_pensylvanicum_MA_03"
"ACEPEN04_HF","12",11.8333333333333,5.77638872191499,2.35820082077653,"ACEPEN","Acer_pensylvanicum_MA_04"
"ACEPEN04_HF","08",15.4,4.61519230368573,1.88414436814168,"ACEPEN","Acer_pensylvanicum_MA_04"
"ACEPEN04_HF","20",13.6666666666667,3.38624669312008,1.38242942355518,"ACEPEN","Acer_pensylvanicum_MA_04"
"ACEPEN04_HF","chill2",13.3333333333333,0.577350269189626,0.288675134594813,"ACEPEN","Acer_pensylvanicum_MA_04"
"ACEPEN04_HF","chill0",18,3.55902608401044,1.77951304200522,"ACEPEN","Acer_pensylvanicum_MA_04"
"ACEPEN04_HF","15",13.2,7.56306816047562,3.08760964717584,"ACEPEN","Acer_pensylvanicum_MA_04"
"ACEPEN04_HF","chill1",9,5.35412613473634,2.67706306736817,"ACEPEN","Acer_pensylvanicum_MA_04"
"ACEPEN04_SH","12",16.3333333333333,7.68548415304245,3.13758576686669,"ACEPEN","Acer_pensylvanicum_QC_04"
"ACEPEN04_SH","20",17.6666666666667,5.24086506854228,2.13957420478416,"ACEPEN","Acer_pensylvanicum_QC_04"
"ACEPEN04_SH","15",17.8333333333333,7.60043858383624,3.10286605862673,"ACEPEN","Acer_pensylvanicum_QC_04"
"ACEPEN04_SH","chill2",16,5.35412613473634,2.67706306736817,"ACEPEN","Acer_pensylvanicum_QC_04"
"ACEPEN04_SH","08",19.1666666666667,4.62240918425302,1.88709064729575,"ACEPEN","Acer_pensylvanicum_QC_04"
"ACEPEN04_SH","chill1",16.25,5.25198375219624,2.62599187609812,"ACEPEN","Acer_pensylvanicum_QC_04"
"ACEPEN04_SH","chill0",21,8.04155872120988,4.02077936060494,"ACEPEN","Acer_pensylvanicum_QC_04"
"ACEPEN06_SH","12",14.5,5.64800849857718,2.3057898140695,"ACEPEN","Acer_pensylvanicum_QC_06"
"ACEPEN06_SH","20",15.5,4.37035467668243,1.78418982547635,"ACEPEN","Acer_pensylvanicum_QC_06"
"ACEPEN06_SH","chill2",14.75,3.5,1.75,"ACEPEN","Acer_pensylvanicum_QC_06"
"ACEPEN06_SH","08",15,4.24264068711928,1.73205080756888,"ACEPEN","Acer_pensylvanicum_QC_06"
