"id","sp","rep","site","ind","treatcode","warm","photo","chill","gen","Term.fl","Lat.fl","Term.lf","Lat.lf","Comments","Observer","day","day.chill","dayuse","tleaf","lleaf","lday","fday","bday","nl","jolyname","newsite","idnumber","jolyid"
"ACEPEN01_HF_01","ACEPEN","1","HF","ACEPEN01_HF","CL2","15","12","chill2","ACE",NA,NA,"0","0","","EB",36,3,3,0,0,43,37,13,1,"Acer_pensylvanicum","MA","01","Acer_pensylvanicum_MA_01"
"ACEPEN01_HF_02","ACEPEN","1","HF","ACEPEN01_HF","CS1","15","08","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,52,NA,15,1,"Acer_pensylvanicum","MA","01","Acer_pensylvanicum_MA_01"
"ACEPEN01_HF_03","ACEPEN","1","HF","ACEPEN01_HF","CL0","15","12","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,48,61,20,1,"Acer_pensylvanicum","MA","01","Acer_pensylvanicum_MA_01"
"ACEPEN01_HF_04","ACEPEN","1","HF","ACEPEN01_HF","WS2","20","08","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,41,41,24,1,"Acer_pensylvanicum","MA","01","Acer_pensylvanicum_MA_01"
"ACEPEN01_HF_05","ACEPEN","1","HF","ACEPEN01_HF","WS0","20","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,34,NA,18,1,"Acer_pensylvanicum","MA","01","Acer_pensylvanicum_MA_01"
"ACEPEN01_HF_06","ACEPEN","1","HF","ACEPEN01_HF","CS2","15","08","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,NA,NA,17,0,"Acer_pensylvanicum","MA","01","Acer_pensylvanicum_MA_01"
"ACEPEN01_HF_07","ACEPEN","1","HF","ACEPEN01_HF","WL2","20","12","chill2","ACE",NA,NA,"0","0","","EB",36,3,3,0,0,27,NA,14,1,"Acer_pensylvanicum","MA","01","Acer_pensylvanicum_MA_01"
"ACEPEN01_HF_08","ACEPEN","1","HF","ACEPEN01_HF","WL0","20","12","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,26,NA,26,1,"Acer_pensylvanicum","MA","01","Acer_pensylvanicum_MA_01"
"ACEPEN01_HF_10","ACEPEN","1","HF","ACEPEN01_HF","CS0","15","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,0,0,68,NA,33,1,"Acer_pensylvanicum","MA","01","Acer_pensylvanicum_MA_01"
"ACEPEN01_HF_11","ACEPEN","1","HF","ACEPEN01_HF","WL1","20","12","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,0,0,38,45,13,1,"Acer_pensylvanicum","MA","01","Acer_pensylvanicum_MA_01"
