Species,Individual,Date (month/day/year),Notes
Acer pensylvanicum,ACEPEN04,9/12/2014,
Acer pensylvanicum,ACEPEN06,9/12/2014,
Acer pensylvanicum,ACEPEN07,9/12/2014,
Acer pensylvanicum,ACEPEN08,9/12/2014,
Acer pensylvanicum,ACEPEN09,9/12/2014,
Alnus incana ssp. rugosa,ALNINC01,9/15/2014,only ~100m from ALNINC05
Alnus incana ssp. rugosa,ALNINC04,9/12/2014,
Alnus incana ssp. rugosa,ALNINC05,9/13/2014,only ~100m from ALNINC01
Alnus incana ssp. rugosa,ALNINC06,9/14/2014,
Alnus incana ssp. rugosa,ALNINC07,9/15/2014,
Fagus grandifolia,FAGGRA02,9/13/2014,
Fagus grandifolia,FAGGRA04,9/12/2014,
Fagus grandifolia,FAGGRA05,9/12/2014,
Fagus grandifolia,FAGGRA06,9/12/2014,
Fagus grandifolia,FAGGRA07,9/12/2014,
Fagus grandifolia,FAGGRA08,9/14/2014,
Lonicera canadensis,LONCAN01,9/12/2014,
Lonicera canadensis,LONCAN02,9/12/2014,
Lonicera canadensis,LONCAN04,9/15/2014,
Populus grandidentata,POPGRA01,9/13/2014,
Populus grandidentata,POPGRA02,9/14/2014,
Populus grandidentata,POPGRA04,9/12/2014,
Populus grandidentata,POPGRA05,9/13/2014,
Populus grandidentata,POPGRA06,9/14/2014,
Populus grandidentata,POPGRA08,9/14/2014,
Prunus pensylvanica,PRUPEN02,9/14/2014,
Prunus pensylvanica,PRUPEN03,9/12/2014,
Prunus pensylvanica,PRUPEN04,9/14/2014,
Prunus pensylvanica,PRUPEN06,9/14/2014,
Prunus pensylvanica,PRUPEN09,9/14/2014,
Quercus rubra,QUERUB04,9/14/2014,
Quercus rubra,QUERUB05,9/12/2014,
Quercus rubra,QUERUB06,9/12/2014,
Quercus rubra,QUERUB07,9/12/2014,
Quercus rubra,QUERUB08,9/12/2014,
Quercus rubra,QUERUB10,9/12/2014,
Spiraea alba,SPIALB01,9/13/2014,
Spiraea alba,SPIALB02,9/12/2014,
Spiraea alba,SPIALB03,9/12/2014,
Spiraea alba,SPIALB04,9/14/2014,
Spiraea alba,SPIALB06,9/14/2014,
Spiraea alba,SPIALB07,9/15/2014,
Vaccinium myrtilloides,VACMYR02,9/12/2014,
Vaccinium myrtilloides,VACMYR03,9/12/2014,
Vaccinium myrtilloides,VACMYR04,9/14/2014,
Vaccinium myrtilloides,VACMYR05,9/15/2014,
Vaccinium myrtilloides,VACMYR07,9/15/2014,
Vaccinium myrtilloides,VACMYR08,9/15/2014,"perhaps use this one instead of 07, it is a further distance from 05."
Viburnum lantanoides,VIBLAN02,9/12/2014,
Viburnum lantanoides,VIBLAN04,9/13/2014,
Viburnum lantanoides,VIBLAN05,9/14/2014,
Viburnum lantanoides,VIBLAN06,9/14/2014,
Viburnum lantanoides,VIBLAN07,9/14/2014,
